poem,all,coherent,grammatical,melodious,moved,real,rhyming,readable,comprehensible,intense,liking
"going before thy path , him ,<br>to thee , away ! thy judgment !<br>stand by the faces i see ,<br>and though it 's not virgil<br>light as a shadow of death .<br>in his choice tiny while he was",-0.3083392542832078,-0.3083392542832078,0.06033030354695152,-0.27670040949274877,0.686417033012803,-0.04390561874943349,-0.3690825721002324,-0.40756779624641787,0.6501632084883836,-0.15636722430789055,0.24820394551313774
"look where the grass is gay<br>with summer blossoms , haply there he cowers ;<br>and search , from spray to spray ,<br>the leafy laurel-bowers ,<br>for well he loves the laurels and the flowers .",-0.11541200438017683,-0.11541200438017683,0.8708551848532031,0.4788385378381059,0.8097464932324567,0.2467157284224573,0.09221890943161215,0.6064095288160078,1.071381818257482,0.007450178156924213,-0.005333375375522558
"until i started writing memoir here,<br>in this apartment, in my life) i go,<br>again and once again... and always hear,<br>again, the same exact details: the door,<br>the table. i forget about myself,<br>forget that table ( maybe it is war,<br>i always wonder) open to the shelf,<br>about to open, maybe slamming shut,<br>because... another table! open what.",1.1077848314064267,1.1077848314064267,1.436948066204176,0.3288126186557305,0.9687301672331771,0.239470657470633,-0.3183504630453921,0.2899398745169865,2.57589990100193,0.06041608458948172,0.5545114601127855
"my blades , before my chaunt i end ,[ 14 ]<br>here the rag-sauce of a friend ;[ 15 ]<br>ne'er trust to any fancy jade ,<br>for all their chaff is only trade !<br>fol , de , rol .",-0.19780652538627763,-0.19780652538627763,-0.28841613287763035,0.4886938605464132,0.49687596856295957,-0.6763199050343516,-0.7346157265578057,0.11686082586438525,0.6612113943135607,-0.9711619421544155,0.3073084399157378
"alas, are raven' driven hither. they,<br>alas. alas for children! children may,<br>indeed. alas, alas! alas the way,<br>alas, alas, to happy childhood, may,<br>indeed. perhaps, indeed. indeed, alas!<br>alas for children! children may. and they,<br>alas! alas for little people cas.<br>they are indeed, alas, alas! indeed,<br>alas, alas. they cannot, therefore need.",0.9046707959752268,0.9046707959752268,-0.17610684287291722,-0.3969538362269589,0.48604495813967735,-0.1108301568458296,-0.11234017339066844,0.09069884179884974,-0.33483771084847924,1.0408839435072,0.09379576109165744
"and drift away with any hesitation ! <br>for such a quiet little secret calls ! <br>this very moment causes condemnation, <br>to wait until the final curtain falls. <br><br>too many people leaving me unspoken, <br>or waiting on an awful habit forming. <br>another lonely heart already broken, <br>is calling only hearing voices snoring.",-0.03296950040627206,-0.03296950040627206,0.393731120340743,0.5384462603843058,1.3011354290093717,0.5329855591450606,-0.44890925580993785,0.8232427816026403,0.861375819864234,0.4811507921251273,0.5653753664460638
"since he retired . though she you 'll toll <br>he needs you to the tale of birth and rite <br>“ mary hath seen we rest , your cares salute <br>whiles he comes sacred , and he speaks of gold",-0.5668849960971947,-0.5668849960971947,0.3386023702983965,0.7485554892287213,1.2227917392471013,-0.2833848910430658,-0.019436063065259863,-0.7975634165827417,0.9565419957162972,0.10613164116769123,0.6742483089154178
"little would be ‘ tis brave ,<br>or paint sweet good , sweet fields ,<br>as far above them methinks<br>a dear fragrance .<br>sir and grave !<br>weary , spoken in death , with kindled a held whose beam",-0.325744391225147,-0.325744391225147,0.04587398674085205,0.5594275833725716,0.6696905012475823,-0.19837199305631265,-0.9272522472223802,0.017073374108181792,0.36576183605584844,0.2661899981340541,1.148536103272901
"a shorter route to india 's strand<br>columbus failed to find .<br>that was an object truly grand ,<br>but in the wealth of this fair land<br>grandeur and good combine .",0.0772808161064,0.0772808161064,0.15963159708979238,0.5176075314518139,1.0025462822565272,0.3790773444554903,-0.12166186109476057,0.12121465221515011,0.06515977629363583,0.22972922421356132,-0.312310973210918
"when i come to the land of the sea . <br>but the great world shall be , <br>and the last leaves are free <br>to the path of our country and our woes ,",0.10953302822519881,0.10953302822519881,0.372198188401175,-0.07403196900981819,1.607432778381119,0.5248429153787141,0.001965316205829839,0.0722941152127534,-0.6131338245138163,0.30255483186721455,-0.7222607273255184
